job_title,years_of_experience,location,education_level,company_size,skills,salary_usd
Robotics Engineer,19,Singapore,Bachelor,Large,"Mathematics, Python, Azure, Statistics",268848
Machine Learning Engineer,1,South Korea,Bachelor,Medium,"SQL, GCP, Computer Vision, Linux",36066
Machine Learning Engineer,0,Sweden,Master,Medium,"PyTorch, Git, Statistics",56533
AI Software Engineer,8,Canada,PhD,Small,"AWS, SQL, PyTorch",97159
Data Scientist,1,China,Bachelor,Medium,"NLP, AWS, Hadoop, Computer Vision, Kubernetes",47232
NLP Engineer,5,Australia,Bachelor,Large,"Python, AWS, Deep Learning, Azure",167289
Robotics Engineer,1,United Kingdom,PhD,Small,"MLOps, Java, AWS, R, Git",99513.9
AI Software Engineer,3,France,Master,Medium,"Tableau, Scala, PyTorch",81854.37
ML Ops Engineer,9,Ireland,Bachelor,Large,"SQL, NLP, Docker",95710
ML Ops Engineer,4,Finland,Master,Large,"R, SQL, Python, Computer Vision",79221
AI Product Manager,1,South Korea,Associate,Large,"Statistics, Hadoop, Mathematics, R",53844
AI Architect,1,Japan,Associate,Large,"Python, Git, Docker",53477
Machine Learning Engineer,2,Switzerland,Master,Large,"Kubernetes, Git, Python, AWS, Spark",172750
Machine Learning Researcher,1,Denmark,PhD,Small,"Deep Learning, Computer Vision, Scala",80355
Computer Vision Engineer,2,Sweden,Bachelor,Large,"TensorFlow, Java, Data Visualization, AWS",97934
AI Consultant,9,India,PhD,Large,"Git, PyTorch, Scala",94239
NLP Engineer,9,Finland,Bachelor,Medium,"Hadoop, Docker, SQL, Deep Learning, Spark",76795
Robotics Engineer,14,Austria,Master,Small,"Java, Deep Learning, MLOps, SQL",150823
Deep Learning Engineer,8,Germany,Master,Small,"Linux, Scala, TensorFlow, Spark",158605.2
Principal Data Scientist,6,United Kingdom,Master,Large,"Azure, Scala, Kubernetes, Statistics",243639.9
AI Architect,0,United Kingdom,Bachelor,Medium,"Tableau, Python, Java, Linux, Data Visualization",73816.65
Autonomous Systems Engineer,7,Singapore,PhD,Small,"Scala, Git, SQL, Statistics, Computer Vision",125950
AI Product Manager,0,United States,Master,Small,"Linux, Mathematics, AWS",78059
AI Architect,2,France,Associate,Small,"AWS, Python, Computer Vision, Kubernetes, Data Visualization",95574.96
Research Scientist,17,Ireland,Master,Medium,"SQL, TensorFlow, Computer Vision, Hadoop",96760
Machine Learning Researcher,9,India,Bachelor,Large,"Python, GCP, Data Visualization, Git, Tableau",117119
Principal Data Scientist,3,Israel,Associate,Large,"Statistics, Python, PyTorch, Linux",68659
Machine Learning Researcher,0,India,Associate,Large,"Spark, Scala, Tableau",55694
Data Analyst,5,Japan,Associate,Medium,"Kubernetes, Docker, Tableau, GCP, AWS",74801
Robotics Engineer,5,Germany,Bachelor,Medium,"SQL, NLP, Python",124310.16
AI Consultant,0,Australia,Associate,Medium,"Python, Linux, Git, Statistics",51215
AI Software Engineer,4,Finland,Bachelor,Small,"Spark, Statistics, Hadoop, SQL, Linux",64872
AI Product Manager,1,South Korea,PhD,Large,"GCP, PyTorch, MLOps, Linux",57458
Principal Data Scientist,1,Ireland,Bachelor,Large,"Docker, NLP, Azure",65161
AI Specialist,1,Finland,PhD,Medium,"MLOps, Computer Vision, Hadoop",47257
Machine Learning Engineer,1,Finland,PhD,Small,"Azure, Spark, Java, TensorFlow, PyTorch",40485
AI Research Scientist,3,France,Bachelor,Large,"Linux, Tableau, Docker, GCP",96472.35
AI Specialist,0,Switzerland,PhD,Medium,"GCP, Spark, Statistics, Python",79116
Deep Learning Engineer,2,Austria,Bachelor,Large,"Deep Learning, R, Git",69009
AI Product Manager,17,India,Associate,Small,"Git, Python, Tableau, GCP",91092
Research Scientist,1,Israel,Master,Small,"Tableau, Deep Learning, Scala, MLOps, SQL",48306
Robotics Engineer,18,India,Bachelor,Small,"Linux, TensorFlow, GCP, Scala",101009
Data Engineer,0,Ireland,PhD,Medium,"GCP, MLOps, PyTorch",54678
AI Product Manager,3,Japan,Associate,Medium,"Git, Computer Vision, Azure, Java, Tableau",72558
AI Specialist,0,Canada,Associate,Medium,"Java, TensorFlow, SQL, Mathematics, Tableau",52990
AI Research Scientist,13,Germany,Master,Medium,"Computer Vision, Git, Tableau",185602.95
NLP Engineer,0,Japan,Master,Large,"Scala, MLOps, GCP, Statistics, Java",63645
Machine Learning Researcher,8,United Kingdom,PhD,Small,"Java, Data Visualization, Mathematics, R, Docker",168917.4
AI Consultant,12,France,Bachelor,Large,"Scala, Python, Linux, GCP, NLP",280300.41
Data Engineer,0,France,Bachelor,Medium,"Java, Linux, Deep Learning, SQL, Git",88250.76
Robotics Engineer,11,United Kingdom,PhD,Medium,"Tableau, Docker, Hadoop, Azure, R",337405.5
AI Product Manager,15,Norway,Bachelor,Large,"Git, Java, PyTorch",290579
AI Software Engineer,16,Germany,PhD,Large,"Deep Learning, Scala, Data Visualization",202693.14
Computer Vision Engineer,4,Canada,Bachelor,Large,"Data Visualization, Computer Vision, R, Tableau",107892
NLP Engineer,1,Sweden,Associate,Large,"Statistics, Hadoop, GCP",85600
Data Scientist,7,Singapore,PhD,Medium,"TensorFlow, Docker, GCP",137908
ML Ops Engineer,0,Canada,Bachelor,Large,"Python, TensorFlow, Statistics, Deep Learning, Data Visualization",76495
Robotics Engineer,19,Denmark,Master,Small,"GCP, Linux, Computer Vision, Tableau",244496
Data Scientist,0,South Korea,Associate,Large,"Spark, Hadoop, SQL, Git, Docker",54272
AI Architect,7,Australia,Master,Small,"Linux, SQL, Computer Vision",135021
Head of AI,11,United States,PhD,Large,"Java, Data Visualization, MLOps",187375
Robotics Engineer,0,China,Master,Medium,"TensorFlow, SQL, Tableau, NLP, AWS",42507
Research Scientist,5,Netherlands,Bachelor,Large,"PyTorch, Linux, Java",199291.95
Autonomous Systems Engineer,1,France,Associate,Large,"MLOps, PyTorch, Azure",65116.35
Data Analyst,19,Norway,PhD,Medium,"R, Azure, PyTorch",238792
Data Scientist,7,United States,Bachelor,Small,"Spark, Azure, Data Visualization, Scala, Statistics",116016
Principal Data Scientist,2,United States,PhD,Small,"Scala, Deep Learning, MLOps, Linux, Tableau",96466
AI Research Scientist,0,Denmark,Bachelor,Medium,"Java, Python, TensorFlow, AWS",82013
Robotics Engineer,18,Australia,Associate,Small,"PyTorch, Scala, Data Visualization, GCP",226504
Autonomous Systems Engineer,15,Australia,Associate,Small,"Linux, Data Visualization, Java",186222
Data Scientist,9,Israel,Associate,Large,"Kubernetes, Linux, TensorFlow, Azure, Scala",86278
ML Ops Engineer,4,Canada,Master,Large,"AWS, NLP, R, Computer Vision, Spark",80482
AI Architect,0,Israel,Associate,Large,"PyTorch, Java, Kubernetes, Statistics, MLOps",58030
AI Software Engineer,4,Austria,PhD,Medium,"Kubernetes, Statistics, NLP",64989
AI Product Manager,6,United Kingdom,Master,Small,"Hadoop, Data Visualization, SQL, Statistics, NLP",144081.45
Machine Learning Researcher,8,Germany,Master,Medium,"PyTorch, Git, Kubernetes, Spark",143576.55
AI Consultant,4,Canada,PhD,Large,"Python, Java, Data Visualization, Tableau, MLOps",103881
Machine Learning Researcher,13,Japan,Master,Small,"GCP, Spark, Computer Vision, NLP, Tableau",151875
Machine Learning Engineer,2,South Korea,Bachelor,Small,"Azure, Python, Data Visualization, TensorFlow, NLP",45978
Research Scientist,18,Denmark,PhD,Large,"Hadoop, Python, TensorFlow, Scala, Java",331854
Head of AI,1,Germany,PhD,Small,"R, Mathematics, Computer Vision, Docker",54192.06
AI Architect,3,Japan,Master,Small,"Python, Spark, NLP, R",53136
Data Analyst,2,Canada,Associate,Small,"Deep Learning, Kubernetes, Spark, Scala",75085
AI Architect,11,United States,Associate,Medium,"PyTorch, TensorFlow, Deep Learning, Tableau, GCP",240150
Machine Learning Researcher,2,Japan,Associate,Small,"AWS, Hadoop, Deep Learning, Python, MLOps",59646
AI Product Manager,1,United Kingdom,Master,Medium,"Data Visualization, SQL, Statistics, Scala",82011.15
Autonomous Systems Engineer,6,Singapore,Master,Large,"Data Visualization, Kubernetes, SQL, Hadoop, Linux",141332
Principal Data Scientist,12,Germany,Bachelor,Medium,"Tableau, R, Python, Mathematics, NLP",256277.97
Autonomous Systems Engineer,18,Israel,Bachelor,Medium,"Data Visualization, Docker, SQL, GCP, Java",163357
AI Research Scientist,11,Singapore,Master,Small,"TensorFlow, Computer Vision, NLP, Deep Learning",208210
Data Scientist,0,United Kingdom,PhD,Medium,"Python, TensorFlow, AWS, Scala, Hadoop",75506.85
Data Analyst,6,Sweden,PhD,Small,"R, SQL, GCP, Spark, Python",109982
Computer Vision Engineer,3,Singapore,PhD,Small,"Data Visualization, Python, Linux, GCP",76903
Principal Data Scientist,2,Ireland,Master,Small,"Tableau, Linux, Azure, Data Visualization, Java",47803
Data Scientist,9,India,Master,Medium,"GCP, Docker, AWS, Java, Statistics",75735
Principal Data Scientist,0,India,Associate,Large,"Kubernetes, Git, GCP, Python",55795
Principal Data Scientist,12,France,Master,Medium,"SQL, Computer Vision, Deep Learning",186870.06
Robotics Engineer,9,China,Master,Large,"PyTorch, TensorFlow, GCP, Spark, AWS",107810
AI Product Manager,6,Germany,PhD,Small,"Azure, Kubernetes, Mathematics, Docker, Tableau",117470.34
ML Ops Engineer,13,Finland,Bachelor,Medium,"Mathematics, MLOps, GCP, R",161115
Data Engineer,4,United States,Associate,Large,"GCP, Spark, Azure, Python",110941
AI Specialist,2,South Korea,Bachelor,Medium,"MLOps, R, Data Visualization, Scala, Docker",66037
Principal Data Scientist,12,Germany,PhD,Large,"TensorFlow, Git, MLOps, Tableau",316194.84
Data Analyst,5,Netherlands,Bachelor,Medium,"TensorFlow, SQL, NLP",153401.04
Research Scientist,13,United Kingdom,PhD,Medium,"Spark, Python, TensorFlow, Docker",250688.25
Research Scientist,1,Canada,Master,Medium,"Kubernetes, Computer Vision, Python",53572
Research Scientist,9,United Kingdom,Bachelor,Small,"PyTorch, SQL, Azure, R",192572.1
AI Specialist,10,Japan,Bachelor,Medium,"Tableau, SQL, PyTorch, Deep Learning, Git",127125
Machine Learning Researcher,15,Norway,Bachelor,Medium,"Azure, Data Visualization, TensorFlow",186801
AI Software Engineer,13,India,Associate,Small,"Hadoop, PyTorch, Docker",133565
Autonomous Systems Engineer,2,France,Associate,Large,"Git, Scala, Python, TensorFlow, SQL",98840.43
Data Analyst,5,India,PhD,Large,"Kubernetes, GCP, NLP, MLOps",122851
Data Engineer,6,Netherlands,Master,Small,"R, Python, PyTorch, AWS, Kubernetes",152477.91
Research Scientist,10,United States,PhD,Large,"MLOps, GCP, Kubernetes, Linux, Hadoop",223202
NLP Engineer,3,Germany,Associate,Medium,"Spark, Statistics, Java",96413.85
Machine Learning Engineer,9,Australia,Bachelor,Small,"Statistics, AWS, Mathematics, Azure, TensorFlow",137257
Machine Learning Engineer,4,Denmark,Associate,Large,"Docker, Mathematics, Deep Learning, Kubernetes, TensorFlow",153378
AI Research Scientist,17,Finland,Master,Large,"Data Visualization, SQL, Docker, R, Deep Learning",180089
Robotics Engineer,12,Japan,Master,Large,"MLOps, GCP, Linux, Java",193391
Autonomous Systems Engineer,16,France,PhD,Small,"SQL, Statistics, R, Linux, Python",215586.54
Data Analyst,15,Netherlands,Master,Large,"Python, NLP, Docker, Statistics",332295.21
AI Consultant,0,Australia,Bachelor,Medium,"R, Linux, Docker, Kubernetes",62844
ML Ops Engineer,13,Israel,Bachelor,Small,"TensorFlow, Linux, Git, Docker, AWS",86961
AI Software Engineer,4,Netherlands,PhD,Small,"Git, R, SQL, Computer Vision",118615.77
Data Scientist,7,United Kingdom,Bachelor,Medium,"R, PyTorch, GCP",160752.6
ML Ops Engineer,1,Israel,Associate,Medium,"Python, NLP, Mathematics, Kubernetes",39725
Data Scientist,6,China,Master,Large,"Hadoop, Deep Learning, Git, Python, Mathematics",111609
Research Scientist,0,Austria,Bachelor,Medium,"Tableau, NLP, PyTorch, Data Visualization",41596
Research Scientist,2,Switzerland,Master,Small,"Linux, Java, GCP, Computer Vision, Tableau",130148
AI Consultant,4,United States,Master,Medium,"Statistics, Python, Kubernetes, Azure, AWS",119598
AI Research Scientist,16,Germany,PhD,Small,"Java, Python, SQL, Spark",203935.68
Data Analyst,13,Norway,Master,Large,"MLOps, Hadoop, Python, AWS, Tableau",273838
AI Product Manager,6,Denmark,PhD,Large,"Statistics, Git, Scala, Tableau",200671
Data Scientist,1,Australia,Associate,Large,"Scala, Computer Vision, TensorFlow, Tableau",88944
Autonomous Systems Engineer,3,Switzerland,Bachelor,Medium,"R, SQL, Kubernetes, Statistics, Mathematics",105834
ML Ops Engineer,18,Japan,Bachelor,Medium,"Tableau, Statistics, Git, AWS",145239
Data Scientist,5,United Kingdom,Master,Large,"SQL, AWS, Scala, Deep Learning, TensorFlow",246431.7
Computer Vision Engineer,16,Ireland,Associate,Small,"Kubernetes, Azure, SQL, AWS",160290
Deep Learning Engineer,9,India,Master,Medium,"Hadoop, Python, Computer Vision, TensorFlow, GCP",99539
Autonomous Systems Engineer,11,Germany,PhD,Small,"TensorFlow, Hadoop, Mathematics, GCP",188506.89
AI Specialist,18,United States,Master,Large,"PyTorch, Deep Learning, Data Visualization, Kubernetes, GCP",209331
Machine Learning Researcher,0,China,Bachelor,Small,"Deep Learning, Python, TensorFlow",48926
Data Scientist,7,Germany,PhD,Small,"R, PyTorch, Hadoop, Mathematics",113205.69
ML Ops Engineer,1,South Korea,Master,Medium,"SQL, PyTorch, Java, Computer Vision, R",36974
Principal Data Scientist,5,Denmark,PhD,Large,"Tableau, Python, GCP, Statistics, Deep Learning",153812
Data Scientist,4,South Korea,PhD,Large,"SQL, Azure, TensorFlow, Git",74063
AI Specialist,18,Austria,Master,Small,"Git, PyTorch, TensorFlow, NLP",91293
AI Product Manager,0,South Korea,Associate,Medium,"Deep Learning, Scala, Azure, TensorFlow, Python",51764
AI Consultant,2,Canada,Associate,Large,"Hadoop, Docker, Scala, Mathematics, Statistics",97638
ML Ops Engineer,4,Sweden,Associate,Large,"GCP, Python, NLP",107417
ML Ops Engineer,1,Switzerland,Master,Large,"NLP, Linux, Tableau",129743
Data Analyst,9,Israel,Master,Large,"PyTorch, Deep Learning, TensorFlow, MLOps, Kubernetes",102189
Data Engineer,3,United Kingdom,Associate,Small,"TensorFlow, Linux, Python",129992.85
ML Ops Engineer,0,Israel,Associate,Small,"Python, Tableau, Azure",43233
Robotics Engineer,4,Ireland,Master,Small,"Data Visualization, NLP, Java, Python, Scala",55317
Machine Learning Researcher,0,Australia,Associate,Large,"Java, R, Deep Learning",59459
AI Architect,11,Finland,Bachelor,Small,"Python, Kubernetes, Mathematics, Tableau",136980
Machine Learning Engineer,1,Japan,PhD,Small,"Linux, NLP, SQL, R, Scala",40975
AI Specialist,10,Germany,PhD,Large,"Deep Learning, Mathematics, Python",334618.83
AI Specialist,19,Netherlands,Bachelor,Medium,"Mathematics, Spark, SQL",205299.9
Data Scientist,7,Denmark,PhD,Small,"R, Spark, Statistics",125319
AI Architect,5,China,Associate,Small,"GCP, Linux, Data Visualization",68912
Machine Learning Researcher,1,Japan,Master,Small,"Kubernetes, AWS, Computer Vision, Deep Learning, Docker",41569
Principal Data Scientist,4,Finland,PhD,Medium,"Python, AWS, MLOps, Docker, Mathematics",69873
Principal Data Scientist,17,Norway,Associate,Small,"Kubernetes, Python, Data Visualization, Deep Learning, TensorFlow",190178
Research Scientist,3,Japan,PhD,Large,"Java, Computer Vision, Deep Learning, Scala",70984
ML Ops Engineer,9,Finland,PhD,Large,"Git, R, Hadoop",88987
AI Research Scientist,8,Singapore,Bachelor,Small,"PyTorch, Spark, Kubernetes, Computer Vision",121632
Deep Learning Engineer,1,Canada,PhD,Small,"Git, SQL, Data Visualization",48788
AI Product Manager,5,China,Master,Small,"Hadoop, Python, Computer Vision, NLP",75031
NLP Engineer,2,United States,PhD,Medium,"Data Visualization, PyTorch, Mathematics, Computer Vision",109340
Data Scientist,3,Switzerland,Associate,Small,"Scala, Python, GCP, Docker",94406
Machine Learning Engineer,4,United States,Bachelor,Large,"AWS, Java, MLOps",125758
AI Research Scientist,2,China,Bachelor,Medium,"PyTorch, TensorFlow, Statistics, Spark",70196
ML Ops Engineer,0,Switzerland,Associate,Large,"Kubernetes, Spark, MLOps",98487
Autonomous Systems Engineer,17,Netherlands,Associate,Medium,"Docker, SQL, Azure, Hadoop, Deep Learning",232514.1
Machine Learning Engineer,2,Japan,Bachelor,Medium,"TensorFlow, GCP, Linux",61132
Research Scientist,0,South Korea,Bachelor,Small,"AWS, R, Statistics, Hadoop",37133
NLP Engineer,1,Denmark,PhD,Small,"TensorFlow, PyTorch, Azure",86443
Deep Learning Engineer,9,Ireland,Master,Medium,"Kubernetes, Python, Mathematics, Scala",77498
Machine Learning Researcher,5,Japan,PhD,Small,"Java, Mathematics, Deep Learning",83094
AI Product Manager,1,Japan,PhD,Small,"Linux, Hadoop, Spark, Statistics, R",35197
Computer Vision Engineer,9,Sweden,PhD,Medium,"Scala, Java, Data Visualization, GCP, R",140278
Robotics Engineer,1,United Kingdom,PhD,Large,"Mathematics, Git, NLP, Computer Vision, Deep Learning",115912.35
Data Scientist,7,Netherlands,Master,Medium,"Tableau, Mathematics, Azure",175319.82
AI Specialist,4,United Kingdom,Bachelor,Small,"Data Visualization, SQL, Python",126601.65
Machine Learning Engineer,4,Canada,Bachelor,Medium,"Python, GCP, TensorFlow, Java, SQL",75605
Autonomous Systems Engineer,17,Singapore,Bachelor,Large,"Java, PyTorch, SQL, NLP, TensorFlow",207463
Deep Learning Engineer,9,Israel,Master,Small,"TensorFlow, Python, GCP",80171
Computer Vision Engineer,1,Singapore,PhD,Medium,"Deep Learning, Python, TensorFlow, GCP",82542
Data Analyst,3,Japan,Bachelor,Medium,"NLP, TensorFlow, AWS, Python, Scala",76070
Machine Learning Researcher,13,United States,Bachelor,Large,"Kubernetes, Scala, Deep Learning, Mathematics, Spark",284282
Principal Data Scientist,7,South Korea,Associate,Large,"PyTorch, TensorFlow, R, Computer Vision",116501
Principal Data Scientist,0,South Korea,PhD,Small,"Java, Python, TensorFlow, Scala, PyTorch",34731
Deep Learning Engineer,0,Sweden,Master,Small,"Python, Spark, Kubernetes",69318
AI Research Scientist,1,China,PhD,Small,"Scala, Linux, MLOps",39939
Robotics Engineer,3,China,Master,Small,"Git, SQL, GCP",50892
AI Specialist,2,Sweden,Associate,Large,"Tableau, Computer Vision, Statistics, MLOps",109417
Machine Learning Researcher,2,Japan,Associate,Small,"Docker, GCP, PyTorch",50703
Data Engineer,1,Israel,Master,Large,"Linux, Docker, MLOps, AWS, Azure",59023
Principal Data Scientist,1,Denmark,Associate,Medium,"Python, PyTorch, MLOps, SQL, Data Visualization",74076
AI Architect,0,China,Associate,Small,"GCP, MLOps, TensorFlow",42837
NLP Engineer,3,United Kingdom,PhD,Small,"TensorFlow, Python, Linux, Mathematics",139198.5
Deep Learning Engineer,7,United Kingdom,Associate,Medium,"Scala, Docker, AWS, Kubernetes, Python",159278.4
AI Research Scientist,8,Norway,Master,Large,"Linux, GCP, MLOps",178756
AI Software Engineer,5,Switzerland,Bachelor,Small,"GCP, Spark, SQL",132253
Data Analyst,17,Israel,PhD,Small,"Spark, Docker, Linux, Tableau, AWS",110592
Machine Learning Engineer,5,Finland,Bachelor,Large,"R, Hadoop, Data Visualization",91571
Autonomous Systems Engineer,4,India,PhD,Large,"Python, Hadoop, Scala, Git",63941
NLP Engineer,0,Japan,Associate,Large,"Azure, Linux, Mathematics, Tableau",45303
Machine Learning Researcher,13,Singapore,Bachelor,Small,"Hadoop, Computer Vision, Java, Mathematics, Deep Learning",231990
Data Analyst,9,Finland,PhD,Medium,"Python, NLP, SQL, Linux",96415
ML Ops Engineer,1,Sweden,Master,Large,"GCP, Spark, Hadoop",68724
AI Architect,1,Israel,Master,Medium,"Data Visualization, SQL, Hadoop, GCP, Deep Learning",39127
Computer Vision Engineer,4,Singapore,Master,Medium,"SQL, Statistics, Kubernetes",94480
AI Consultant,17,Denmark,Master,Medium,"GCP, Kubernetes, Java",198321
Data Analyst,2,Ireland,Master,Large,"Python, MLOps, NLP, Java, GCP",88938
ML Ops Engineer,9,India,Associate,Large,"Kubernetes, MLOps, Python",106404
Deep Learning Engineer,9,Ireland,PhD,Small,"Python, TensorFlow, Linux",92286
Research Scientist,6,France,Bachelor,Large,"NLP, SQL, Python, Deep Learning, TensorFlow",166104.9
AI Architect,4,Japan,PhD,Medium,"GCP, Hadoop, AWS, Statistics, SQL",60128
NLP Engineer,1,Germany,PhD,Large,"Deep Learning, Mathematics, TensorFlow, Tableau, Data Visualization",100037.34
AI Specialist,6,Canada,PhD,Small,"Deep Learning, AWS, Computer Vision, Hadoop, R",128116
AI Software Engineer,15,Austria,Bachelor,Large,"Azure, Docker, Linux, Tableau",156174
AI Research Scientist,9,France,PhD,Medium,"Mathematics, AWS, Statistics, PyTorch",121878.9
AI Architect,16,Sweden,Master,Medium,"PyTorch, TensorFlow, Mathematics",199683
Data Analyst,1,Singapore,Bachelor,Large,"Deep Learning, Python, MLOps",97546
Machine Learning Researcher,4,China,Associate,Medium,"Python, SQL, Hadoop, Kubernetes",67132
Head of AI,2,Israel,PhD,Medium,"R, Linux, NLP, Mathematics, Statistics",77506
AI Research Scientist,1,Norway,Associate,Small,"Linux, SQL, Deep Learning, MLOps",74078
AI Product Manager,3,Finland,Associate,Large,"Linux, Python, SQL",65940
AI Research Scientist,4,Australia,Associate,Medium,"SQL, AWS, Deep Learning, PyTorch, Computer Vision",82425
AI Research Scientist,1,Germany,Master,Medium,"Java, Git, NLP",62922.6
Head of AI,9,Israel,Associate,Large,"Data Visualization, AWS, Hadoop, Linux, Deep Learning",121453
Research Scientist,2,Austria,Bachelor,Small,"Mathematics, MLOps, Computer Vision, Linux, NLP",57514
AI Product Manager,8,United Kingdom,PhD,Large,"TensorFlow, Hadoop, Docker, Mathematics",248618.7
AI Research Scientist,9,United Kingdom,Master,Small,"AWS, Python, Mathematics, TensorFlow",183249
Research Scientist,0,Japan,PhD,Small,"Mathematics, NLP, Tableau, Linux, TensorFlow",37774
AI Specialist,8,Austria,PhD,Large,"PyTorch, Mathematics, Tableau, Data Visualization, TensorFlow",115486
Deep Learning Engineer,0,India,Associate,Medium,"Azure, TensorFlow, SQL, Tableau",38637
Deep Learning Engineer,19,Ireland,Bachelor,Medium,"Hadoop, PyTorch, TensorFlow",163609
AI Specialist,0,Finland,PhD,Small,"SQL, TensorFlow, R",34174
Machine Learning Researcher,0,Australia,Associate,Large,"Data Visualization, SQL, Deep Learning",63724
Head of AI,1,Finland,Master,Large,"Hadoop, GCP, NLP, Linux, SQL",47715
AI Research Scientist,0,Ireland,PhD,Large,"R, Azure, Python, Spark, Scala",48152
AI Software Engineer,1,United Kingdom,PhD,Small,"Deep Learning, Spark, Kubernetes, Git, Python",100475.1
Data Analyst,1,India,Associate,Small,"Linux, Tableau, AWS, Java, PyTorch",39414
AI Architect,1,Japan,Master,Large,"Tableau, Python, Docker",58685
Deep Learning Engineer,9,Ireland,Master,Small,"Kubernetes, Hadoop, Data Visualization, NLP",69092
NLP Engineer,2,Australia,PhD,Large,"Python, TensorFlow, PyTorch",95706
ML Ops Engineer,2,Japan,Associate,Small,"Hadoop, AWS, R",50027
Machine Learning Researcher,1,Israel,PhD,Large,"Tableau, Java, Kubernetes, Azure, SQL",43498
Robotics Engineer,1,Canada,PhD,Medium,"Python, Computer Vision, NLP",75426
Computer Vision Engineer,19,Australia,PhD,Large,"Docker, Scala, Deep Learning, Python, Spark",259535
Data Engineer,12,France,Master,Medium,"PyTorch, Hadoop, SQL",267137.91
Data Scientist,0,Canada,Bachelor,Medium,"AWS, R, Statistics, SQL",58509
Robotics Engineer,10,United Kingdom,PhD,Small,"R, Linux, Java, Computer Vision",319492.35
Data Analyst,4,Canada,Associate,Medium,"Git, Python, MLOps, Statistics, Deep Learning",73979
Data Scientist,0,Australia,Associate,Large,"Docker, Data Visualization, AWS, MLOps",69797
AI Architect,3,South Korea,Bachelor,Large,"Kubernetes, SQL, NLP, AWS, Deep Learning",63533
Research Scientist,17,Finland,Associate,Large,"Java, Kubernetes, Linux, Python, Computer Vision",171132
Head of AI,1,Norway,Bachelor,Small,"Python, Kubernetes, Spark",73586
Data Analyst,0,Switzerland,Associate,Large,"GCP, Kubernetes, Deep Learning",117499
AI Consultant,0,Sweden,Master,Small,"Spark, Hadoop, Python, Git, NLP",63608
Deep Learning Engineer,3,China,PhD,Medium,"AWS, Statistics, SQL, GCP",77481
Head of AI,10,Sweden,PhD,Small,"SQL, Deep Learning, PyTorch",228223
ML Ops Engineer,18,Ireland,PhD,Medium,"NLP, PyTorch, TensorFlow",143094
Research Scientist,12,Denmark,Bachelor,Large,"Python, Docker, Computer Vision",253257
Data Engineer,9,South Korea,Master,Medium,"Tableau, Python, MLOps",88152
Robotics Engineer,4,Sweden,PhD,Large,"Mathematics, Python, Linux",105675
Principal Data Scientist,5,Japan,Associate,Large,"Kubernetes, GCP, R",85522
AI Consultant,3,Canada,Master,Small,"Docker, Tableau, Hadoop, TensorFlow",91939
Machine Learning Researcher,0,Canada,Associate,Large,"Mathematics, Docker, Kubernetes",56259
Autonomous Systems Engineer,7,Sweden,Associate,Large,"Data Visualization, Scala, GCP, Python, Docker",168449
Data Scientist,0,India,Bachelor,Medium,"Python, Scala, Linux, SQL, Git",38337
ML Ops Engineer,9,Finland,Bachelor,Small,"Spark, Linux, MLOps, AWS",97183
Deep Learning Engineer,6,Canada,Master,Small,"SQL, PyTorch, Data Visualization, MLOps, NLP",122921
Deep Learning Engineer,16,Sweden,PhD,Small,"Linux, GCP, Scala, Java, NLP",211354
Autonomous Systems Engineer,5,Austria,Bachelor,Small,"Computer Vision, Kubernetes, Scala, Python, Deep Learning",70601
Machine Learning Researcher,1,Canada,PhD,Small,"Java, Computer Vision, NLP, R",66340
AI Consultant,8,Canada,PhD,Medium,"Scala, Linux, Tableau, MLOps, NLP",114752
AI Consultant,15,Israel,PhD,Large,"Java, Git, Deep Learning, Azure, MLOps",197148
AI Consultant,7,France,PhD,Small,"Mathematics, Statistics, MLOps",101869.56
Head of AI,3,Germany,Bachelor,Medium,"Spark, TensorFlow, MLOps, Computer Vision",106271.1
Deep Learning Engineer,5,South Korea,PhD,Medium,"Linux, Python, Tableau",101851
Robotics Engineer,2,South Korea,Associate,Small,"PyTorch, SQL, NLP, Computer Vision, Mathematics",68785
Machine Learning Researcher,1,Germany,Associate,Medium,"Tableau, Linux, MLOps, Git",65201.76
Autonomous Systems Engineer,3,France,Associate,Large,"PyTorch, Python, TensorFlow, MLOps",101409.75
Deep Learning Engineer,16,France,Associate,Small,"Mathematics, AWS, Computer Vision",230073.48
Machine Learning Researcher,6,India,Associate,Large,"Linux, Docker, Deep Learning",112485
Principal Data Scientist,1,United States,PhD,Large,"SQL, Scala, Mathematics, Statistics, PyTorch",108843
AI Software Engineer,5,India,Master,Medium,"TensorFlow, GCP, Scala",107422
Machine Learning Engineer,0,Australia,Master,Small,"TensorFlow, Kubernetes, MLOps",59376
Robotics Engineer,2,Switzerland,Bachelor,Medium,"Azure, R, SQL, GCP, Hadoop",142895
Machine Learning Engineer,4,Australia,Master,Large,"Kubernetes, Deep Learning, PyTorch, Azure",99872
ML Ops Engineer,1,Austria,Master,Medium,"SQL, GCP, TensorFlow, Azure",38835
Data Analyst,15,Netherlands,Associate,Medium,"Azure, Java, Deep Learning, Kubernetes",298521.99
AI Specialist,0,Netherlands,PhD,Large,"Linux, PyTorch, Spark",110520.54
Principal Data Scientist,1,Finland,PhD,Small,"Python, Git, Linux, Docker",40845
Principal Data Scientist,1,Canada,PhD,Large,"AWS, Mathematics, Azure, Python, Data Visualization",82060
